ts_recorded,ts_uploaded,obd_rpm,obd_speed,obd_engine_load
2025-05-27T19:13:19.000000Z,2025-05-27T19:13:21.556084Z,1110,60,49
2025-05-27T19:13:49.000000Z,2025-05-27T19:13:51.513849Z,1110,60,49
2025-05-27T19:14:19.000000Z,2025-05-27T19:14:21.208158Z,1110,60,49
2025-05-27T19:14:49.000000Z,2025-05-27T19:14:50.978912Z,1110,60,49
2025-05-27T19:15:19.000000Z,2025-05-27T19:15:20.375187Z,1110,60,49
2025-05-27T19:15:49.000000Z,2025-05-27T19:15:51.641233Z,1110,60,49
2025-05-27T19:16:19.000000Z,2025-05-27T19:16:21.769210Z,1110,60,49
2025-05-27T19:16:49.000000Z,2025-05-27T19:16:51.738706Z,1110,60,49
2025-05-27T19:17:19.000000Z,2025-05-27T19:17:21.228543Z,1110,60,49
2025-05-27T19:17:49.000000Z,2025-05-27T19:17:51.632818Z,1110,60,49
2025-05-27T19:18:19.000000Z,2025-05-27T19:18:21.375284Z,1110,60,49
2025-05-27T19:18:49.000000Z,2025-05-27T19:18:51.246067Z,1110,60,49
2025-05-27T19:19:19.000000Z,2025-05-27T19:19:21.149851Z,1110,60,49
2025-05-27T19:19:49.000000Z,2025-05-27T19:19:51.028075Z,1110,60,49
2025-05-27T19:20:19.000000Z,2025-05-27T19:20:21.380329Z,1110,60,49
2025-05-27T19:20:49.000000Z,2025-05-27T19:20:51.435054Z,1110,60,49
2025-05-27T19:21:19.000000Z,2025-05-27T19:21:21.337410Z,1110,60,49
2025-05-27T19:21:49.000000Z,2025-05-27T19:21:50.550511Z,1110,60,49
2025-05-27T19:22:19.000000Z,2025-05-27T19:22:21.621640Z,1110,60,49
2025-05-27T19:22:49.000000Z,2025-05-27T19:22:52.466062Z,1110,60,49
2025-05-27T19:23:19.000000Z,2025-05-27T19:23:22.203723Z,1110,60,49
2025-05-27T19:23:49.000000Z,2025-05-27T19:23:52.075305Z,1110,60,49
2025-05-27T19:24:19.000000Z,2025-05-27T19:24:22.500885Z,1110,60,49
2025-05-27T19:24:49.000000Z,2025-05-27T19:24:51.958209Z,1110,60,49
2025-05-27T19:25:19.000000Z,2025-05-27T19:25:21.895757Z,1110,60,49
2025-05-27T19:25:49.000000Z,2025-05-27T19:25:51.491384Z,1110,60,49
2025-05-27T19:26:19.000000Z,2025-05-27T19:26:21.031303Z,1110,60,49
2025-05-27T19:26:49.000000Z,2025-05-27T19:26:51.783532Z,1110,60,49
2025-05-27T19:27:19.000000Z,2025-05-27T19:27:21.763140Z,1110,60,49
2025-05-27T19:27:49.000000Z,2025-05-27T19:27:51.752890Z,1110,60,49
2025-05-27T19:28:19.000000Z,2025-05-27T19:28:22.297948Z,1110,60,49
2025-05-27T19:28:49.000000Z,2025-05-27T19:28:52.072746Z,1110,60,49
2025-05-27T19:29:19.000000Z,2025-05-27T19:29:22.061528Z,1110,60,49
2025-05-27T19:29:49.000000Z,2025-05-27T19:29:51.737808Z,1110,60,49
2025-05-27T19:30:19.000000Z,2025-05-27T19:30:21.277274Z,1110,60,49
2025-05-27T19:30:49.000000Z,2025-05-27T19:30:52.437217Z,1110,60,49
2025-05-27T19:31:19.000000Z,2025-05-27T19:31:21.920619Z,1110,60,49
2025-05-27T19:31:49.000000Z,2025-05-27T19:31:51.936320Z,1110,60,49
2025-05-27T19:32:19.000000Z,2025-05-27T19:32:21.810908Z,1110,60,49
2025-05-27T19:32:49.000000Z,2025-05-27T19:32:51.890030Z,1110,60,49
2025-05-27T19:33:19.000000Z,2025-05-27T19:33:21.728167Z,1110,60,49
2025-05-27T19:33:49.000000Z,2025-05-27T19:33:51.418902Z,1110,60,49
2025-05-27T19:34:19.000000Z,2025-05-27T19:34:20.924798Z,1110,60,49
2025-05-27T19:34:49.000000Z,2025-05-27T19:34:52.062402Z,1110,60,49
2025-05-27T19:35:19.000000Z,2025-05-27T19:35:22.239061Z,1110,60,49
2025-05-27T19:35:49.000000Z,2025-05-27T19:35:52.029009Z,1110,60,49
2025-05-27T19:36:19.000000Z,2025-05-27T19:36:22.508920Z,1110,60,49
